Date,Issues
2020-09,19
2020-10,10
2020-11,22
2020-12,14
2021-01,19
2021-02,17
2021-03,15
2021-04,18
2021-05,20
2021-06,29
2021-07,61
2021-08,20
2021-09,23
2021-10,25
2021-11,29
2021-12,27
2022-01,15
2022-02,23
2022-03,41
2022-04,28
2022-05,16
2022-06,27
2022-07,36
2022-08,19
2022-09,27
2022-10,22
2022-11,26
2022-12,45
2023-01,18
2023-02,18
2023-03,31
2023-04,31
2023-05,52
2023-06,50
2023-07,185
2023-08,43
2023-09,49
2023-10,47
2023-11,36
2023-12,19
2024-01,48
2024-02,55
2024-03,77
2024-04,63
2024-05,56
2024-06,46
2024-07,65
2024-08,63
2024-09,49
2024-10,47
2024-11,60
2024-12,43
2025-01,66
